80,24,90,90,0,3500,,Iz,Eiz,w
80.25,24,90,45,0,3500,,25250.79658,22725716.92,164.7508129
80.5,24,90,45,0,3500,,25487.89134,22939102.2,165.264856
80.722,40,90,0,0,3500,,22833.19124,502330207.3,153.3844452
80.944,40,90,0,0,3500,,23022.35654,506491843.8,153.8068608
81.166,40,90,0,0,3500,,23212.56374,510676402.3,154.2292764
81.388,40,50,0,0,3500,,20338.60859,447449389,154.6516921
81.61,40,45,0,0,3500,,19308.93444,424796557.6,155.0741077
81.832,40,40,0,0,3500,,18030.47566,396670464.5,155.4965234
82.082,24,90,90,0,3500,,27022.72039,51343168.74,168.5177207
,,,,,,,,,
厚みデータ,24,0.125,,,,,,EI,重量 g
,40,0.111,,,,,,2885422852,1425.176295
,,,,,,,,,
ヤング率,0,22000,,,,,,,
(40t),45,900,,,,,,,
,90,1900,,,,,,,
,,,,,,,,,
密度,24,0.001496,,,,,,,
,40,0.001559,,,,,,,
